Transcript level ProbeID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
TC20000927.hg.1, PTGIS ,2.39513085711485,6.33201736473596,3.29917223587946,0.00776848128037254,0.101869952647027,-2.527081115
TC11000329.hg.1, EHF ,-2.386008586,6.79191571139065,-3.298642618,0.00777552459681182,0.101900294124844,-2.527965823
TC08001626.hg.1, OTTHUMG00000165064 ,-2.381644487,4.06545296651923,-6.848800723,3.94937937773641e-05,0.00977031377566161,2.61966829441577
TC17000383.hg.1, CCL2 ,2.37714425390508,8.16846141478389,5.15163435909019,0.000397845915391047,0.0245900854435783,0.391100376801794
TC15001553.hg.1, RBPMS2 ,2.37680906568646,6.05053376345849,3.13307477514411,0.0103322209535612,0.117658520637493,-2.804977021
TC02002765.hg.1, TNS1 ,2.362375729,6.85113111609737,3.41357539407056,0.00639072343427586,0.0921812608171389,-2.336279423
TC12000932.hg.1, HSPB8 ,2.36053125048271,5.15636841389283,3.50937278171806,0.00543168508299605,0.0850726611632378,-2.177076708
TC0X000954.hg.1, SRPX ,2.35504079099825,5.25607111720115,3.82040028726086,0.00322437435953548,0.0668686090069878,-1.665141698
TC0X000658.hg.1, FHL1 ,2.35188149355677,6.48731461306996,4.9647144592346,0.000525803432295714,0.0278596810336519,0.11803858293098
TC17001827.hg.1, ABCA6 ,2.34846350083144,3.41281082436237,6.12208208899165,0.000101260393354383,0.0150340773063814,1.72006728187659
TC05000612.hg.1, SLC12A2 ,-2.341330195,7.80862342888373,-6.165221786,9.55720321510943e-05,0.014716214898235,1.77570938643665
TC0X000948.hg.1, TMEM47 ,2.33959915551559,5.943919328,4.05585509969455,0.00218874586832876,0.0555552216810577,-1.284047522
TC14001238.hg.1, PLEK2 ,-2.335785576,7.22741528733581,-5.249540438,0.000344466394079492,0.0232135624477738,0.531934715870081
TC15000800.hg.1, ADAMTSL3 ,2.33330750927724,4.55225612437766,3.68612583479426,0.00403337846081843,0.0736806829679758,-1.885099412
TC15000386.hg.1, FGF7 ,2.32830209431818,2.82703293157824,3.75774687144214,0.00357849672458759,0.0698108781488494,-1.767557664
TC03001651.hg.1, CCDC80 ,2.31856799541149,5.25579058226007,3.98964756873636,0.00243896646017202,0.0583110226738668,-1.390567258
TC01001624.hg.1, RGS2 ,2.3181993700679,6.46514724158542,3.7596111569985,0.00356739515881463,0.0697244631748482,-1.764504587
